"mechanic_id","system","entry_type","entry_name","module","bundle","source_file","bytes","version_source","evidence"
"mechanic-015f7ed11833c70d","Alliance-PvP","logic_or_ui_entry","ActiNationWarTargetPanel","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","7655","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-40f156e5cf230192","Alliance-PvP","logic_or_ui_entry","ActiRewardPreviewText","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","5324","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-9af5b4450478b7d8","Alliance-PvP","logic_or_ui_entry","AFireActivePassAwardView","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","5082","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-eb62c1bb63ce4512","Alliance-PvP","logic_or_ui_entry","AFireTimeAward","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","2750","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-7f23e8b2cd119e84","Alliance-PvP","logic_or_ui_entry","AFireTreasureAwardView","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","2703","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-bacacdf18a8bf44c","Alliance-PvP","logic_or_ui_entry","AFireTreasureAwardView2","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","3153","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-5fa428f50682c36f","Alliance-PvP","logic_or_ui_entry","AlertAwardCommonView","","logic/lua_logic_all.assetbundle","analisis/system-map/system-map.csv","3104","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-010741229bb54d8e","Alliance-PvP","logic_or_ui_entry","AlertAwardView","","logic/lua_logic_all.assetbundle","analisis/system-map/system-map.csv","2838","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-0568ed8d660e7e14","Alliance-PvP","logic_or_ui_entry","AlertAwardView2","","logic/lua_logic_all.assetbundle","analisis/system-map/system-map.csv","2855","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-77d1617398092522","Alliance-PvP","logic_or_ui_entry","AmusementAwardTipsView","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","1926","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-eea939ab391db0cb","Alliance-PvP","logic_or_ui_entry","AnniCeleRankRewardView","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","2534","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-342169007c07d7dd","Alliance-PvP","logic_or_ui_entry","AsyncAreaTargetAward","","logic/lua_logic_5.assetbundle","analisis/system-map/system-map.csv","3360","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-29c6485c803e4ad7","Alliance-PvP","logic_or_ui_entry","AwardBoxTipsView","","logic/lua_logic_0.assetbundle","analisis/system-map/system-map.csv","2327","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-68c1598d7d24d61b","Alliance-PvP","logic_or_ui_entry","AwardTipsTextView","","logic/lua_logic_0.assetbundle","analisis/system-map/system-map.csv","3432","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
"mechanic-22ee578e617e8305","Alliance-PvP","logic_or_ui_entry","AwardTipsTextView_shenhe","","logic/lua_logic_11.assetbundle","analisis/system-map/system-map.csv","2264","Google Play LDPlayer","entrada de lÃ³gica/UI extraÃ­da"
