"archivo","url"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","http://192.168.30.214:9099/"
"T:\Guia Archivos\analisis\text-assets\HttpRequestManager__lua_logic_all__b2b5aab7a8.txt","http://192.168.30.214:9099/"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","http://192.168.30.230:8021/gateway'http://192.168.30.230:8020/gateway"
"T:\Guia Archivos\analisis\text-assets\WebSDKHttpManager__lua_logic_all__538dbbef95.txt","http://192.168.30.230:8021/gateway'http://192.168.30.230:8020/gateway"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","http://act-plat.leniu.com/shdl/wanguo_h5/#/index?origin=game&ln_uid=%s&role_id=%s&role_name=%s&server_no=%s&server_name="
"T:\Guia Archivos\analisis\text-assets\NationWarDailyReportItem__lua_logic_NationWar__ff0c7b4a8d.txt","http://act-plat.leniu.com/shdl/wanguo_h5/#/index?origin=game&ln_uid=%s&role_id=%s&role_name=%s&server_no=%s&server_name=%s&platform_sign=%s"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","http://act-plat.leniu.com/shdl/wanguo_h5/#?origin=game&ln_uid=%s&role_id=%s&role_name=%s&server_no=%s&server_name=%s&pla"
"T:\Guia Archivos\analisis\text-assets\NationWarSeasonReportItem__lua_logic_NationWar__c5ebbb4697.txt","http://act-plat.leniu.com/shdl/wanguo_h5/#?origin=game&ln_uid=%s&role_id=%s&role_name=%s&server_no=%s&server_name=%s&platform_sign=%s"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","http://leniu.com/voice/"
"T:\Guia Archivos\analisis\text-assets\CrossVoiceRecordPanel__lua_logic_7__28efcb37f4.txt","http://leniu.com/voice/"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://act.qqgame.qq.com/a20240118spractfour/index.html"
"T:\Guia Archivos\analisis\text-assets\QQHallGiftPanel__lua_logic_9__9c24cebac7.txt","https://act.qqgame.qq.com/a20240118spractfour/index.html"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://aip.baidubce.com/oauth/2.0/token"
"T:\Guia Archivos\analisis\text-assets\TranslateManager__lua_logic_all__9249b9d2da.txt","https://aip.baidubce.com/oauth/2.0/token"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://aip.baidubce.com/rpc/2.0/mt/texttrans/v1"
"T:\Guia Archivos\analisis\text-assets\TranslateManager__lua_logic_all__9249b9d2da.txt","https://aip.baidubce.com/rpc/2.0/mt/texttrans/v1"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://alidownload.swjoy.com/pc-apk/com.lnu.shdl.shunwang_t49d320a73.apk"
"T:\Guia Archivos\analisis\text-assets\360PCView__lua_logic_3__e6ada1bd3a.txt","https://alidownload.swjoy.com/pc-apk/com.lnu.shdl.shunwang_t49d320a73.apk"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://apisdk2.lnert.com/api/config/getprotocol?appid=%s&ad=%s"
"T:\Guia Archivos\analisis\text-assets\WebSDKHttpManager__lua_logic_all__538dbbef95.txt","https://apisdk2.lnert.com/api/config/getprotocol?appid=%s&ad=%s"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://apisdk2.lnert.com/gateway%https://apisdk.lnert.com/gateway"
"T:\Guia Archivos\analisis\text-assets\WebSDKHttpManager__lua_logic_all__538dbbef95.txt","https://apisdk2.lnert.com/gateway%https://apisdk.lnert.com/gateway"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://beian.miit.gov.cn"
"T:\Guia Archivos\analisis\text-assets\LoginEnterView__lua_logic_4__fce5b15995.txt","https://beian.miit.gov.cn"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://discord.gg/TAtcyayRFn"
"T:\Guia Archivos\analisis\text-assets\data_abroadReward__lua_config_module_1__3041980700.txt","https://discord.gg/TAtcyayRFn"
"T:\Guia Archivos\analisis\text-assets\data_abroadReward__lua_config_module_en_1__dd84ef5702.txt","https://discord.gg/TAtcyayRFn"
"T:\Guia Archivos\analisis\text-assets\data_abroadReward__lua_config_module_id_1__cae76592b4.txt","https://discord.gg/TAtcyayRFn"
"T:\Guia Archivos\analisis\text-assets\data_abroadReward__lua_config_module_ru_1__c52dffa3de.txt","https://discord.gg/TAtcyayRFn"
"T:\Guia Archivos\analisis\text-assets\SDKManager__lua_logic_all__fe156bfc29.txt","https://discord.gg/TAtcyayRFn"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://download.swjoy.com/GameBao/GameBaoSetup.exe"
"T:\Guia Archivos\analisis\text-assets\ShunWangModel__lua_logic_11__a4428546bc.txt","https://download.swjoy.com/GameBao/GameBaoSetup.exe"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://game.flash.cn/account/safe/protect"
"T:\Guia Archivos\analisis\text-assets\FlashModel__lua_logic_10__e3d0bfd5cb.txt","https://game.flash.cn/account/safe/protect"
"T:\Guia Archivos\analisis\catalogos\printable-strings.csv","https://game.flash.cn/account/safe/realname"
