"categoria","nombre_interno","imagen","bundle_origen","ancho","alto","estado_imagen"
"other-ui","qiyu_miwen_zhuangshi_bg","assets/images/game-data/other-ui/qiyu_miwen_zhuangshi_bg__atlas__accident__77e3238ddc.png","atlas\accident.assetbundle","142","8","copiada_desde_cliente"
"other-ui","hongxing01","assets/images/game-data/other-ui/hongxing01__atlas__accident__3b09a2ee7d.png","atlas\accident.assetbundle","46","47","copiada_desde_cliente"
"other-ui","qiyu_shijianneirongdi_bg","assets/images/game-data/other-ui/qiyu_shijianneirongdi_bg__atlas__accident__1953b884b3.png","atlas\accident.assetbundle","175","438","copiada_desde_cliente"
"other-ui","qiyu_yeqian_di_xuanzhong","assets/images/game-data/other-ui/qiyu_yeqian_di_xuanzhong__atlas__accident__497e3650a1.png","atlas\accident.assetbundle","90","116","copiada_desde_cliente"
"other-ui","qiyu_biaotidi_bg","assets/images/game-data/other-ui/qiyu_biaotidi_bg__atlas__accident__720c102953.png","atlas\accident.assetbundle","168","30","copiada_desde_cliente"
"other-ui","qiyu_biaotidi_bg_9s","assets/images/game-data/other-ui/qiyu_biaotidi_bg_9s__atlas__accident__b8b9dde104.png","atlas\accident.assetbundle","4","4","copiada_desde_cliente"
"other-ui","xianmengdibao_fengexian_heng_H3S","assets/images/game-data/other-ui/xianmengdibao_fengexian_heng_H3S__atlas__accident__cf0dea2126.png","atlas\accident.assetbundle","8","1","copiada_desde_cliente"
"other-ui","qiyu_shijiandi_bg_9s","assets/images/game-data/other-ui/qiyu_shijiandi_bg_9s__atlas__accident__80dc0d6af5.png","atlas\accident.assetbundle","29","29","copiada_desde_cliente"
"other-ui","qiyu_zhuangshi_bg","assets/images/game-data/other-ui/qiyu_zhuangshi_bg__atlas__accident__9b801e2b1f.png","atlas\accident.assetbundle","234","14","copiada_desde_cliente"
"other-ui","vip_xian_icon_9S","assets/images/game-data/other-ui/vip_xian_icon_9S__atlas__accident__acbc9eb6e4.png","atlas\accident.assetbundle","44","8","copiada_desde_cliente"
"other-ui","qiyu_jindudi_bg","assets/images/game-data/other-ui/qiyu_jindudi_bg__atlas__accident__74f9dacb89.png","atlas\accident.assetbundle","70","34","copiada_desde_cliente"
"other-ui","qiyu_zhankaidi_bg_9s","assets/images/game-data/other-ui/qiyu_zhankaidi_bg_9s__atlas__accident__bd3f21605b.png","atlas\accident.assetbundle","4","4","copiada_desde_cliente"
"other-ui","qiyu_shuqiandi_bg","assets/images/game-data/other-ui/qiyu_shuqiandi_bg__atlas__accident__6c2bcf14bd.png","atlas\accident.assetbundle","181","49","copiada_desde_cliente"
"other-ui","qiyu_yeqian_xian_S3S","assets/images/game-data/other-ui/qiyu_yeqian_xian_S3S__atlas__accident__58e959ec00.png","atlas\accident.assetbundle","28","102","copiada_desde_cliente"
"other-ui","xianmengdibaol_xian_H9S","assets/images/game-data/other-ui/xianmengdibaol_xian_H9S__atlas__accident__3713156327.png","atlas\accident.assetbundle","72","10","copiada_desde_cliente"
"other-ui","qiyu_neirongdi_bg_9s","assets/images/game-data/other-ui/qiyu_neirongdi_bg_9s__atlas__accident__2c03efc122.png","atlas\accident.assetbundle","4","4","copiada_desde_cliente"
"other-ui","chengjiu_dj_chengjiudian_icon","assets/images/game-data/other-ui/chengjiu_dj_chengjiudian_icon__atlas__achievement__8306c72bfc.png","atlas\achievement.assetbundle","32","44","copiada_desde_cliente"
"other-ui","huobi_biaoti_bg02_H3S","assets/images/game-data/other-ui/huobi_biaoti_bg02_H3S__atlas__achievement__daeb0105cf.png","atlas\achievement.assetbundle","110","38","copiada_desde_cliente"
"other-ui","tujianxiton_xingxing_lan_da_icon","assets/images/game-data/other-ui/tujianxiton_xingxing_lan_da_icon__atlas__achievement__b17aff4284.png","atlas\achievement.assetbundle","36","36","copiada_desde_cliente"
"other-ui","tujianxiton_xingxing_huang_da_icon","assets/images/game-data/other-ui/tujianxiton_xingxing_huang_da_icon__atlas__achievement__b8285542a3.png","atlas\achievement.assetbundle","36","36","copiada_desde_cliente"
"other-ui","huobi_biaoti_bg01_H3S","assets/images/game-data/other-ui/huobi_biaoti_bg01_H3S__atlas__achievement__466f29bca8.png","atlas\achievement.assetbundle","174","47","copiada_desde_cliente"
"other-ui","tujianxiton_wenzi_bg","assets/images/game-data/other-ui/tujianxiton_wenzi_bg__atlas__achievement__ef32ba45a5.png","atlas\achievement.assetbundle","83","268","copiada_desde_cliente"
"other-ui","dengjijiangli_duihuakuang_9s","assets/images/game-data/other-ui/dengjijiangli_duihuakuang_9s__atlas__achievement__618c6b05d1.png","atlas\achievement.assetbundle","53","44","copiada_desde_cliente"
"other-ui","tujianxiton_xingxing_hui_da_icon","assets/images/game-data/other-ui/tujianxiton_xingxing_hui_da_icon__atlas__achievement__68c3e3b267.png","atlas\achievement.assetbundle","36","36","copiada_desde_cliente"
"other-ui","quality5","assets/images/game-data/other-ui/quality5__atlas__achievement__48be6cce90.png","atlas\achievement.assetbundle","68","50","copiada_desde_cliente"
"other-ui","Aquarius_signcard","assets/images/game-data/other-ui/Aquarius_signcard__atlas__achievement__08b786d9c9.png","atlas\achievement.assetbundle","453","624","copiada_desde_cliente"
"other-ui","jika_kapiandi_bg","assets/images/game-data/other-ui/jika_kapiandi_bg__atlas__achievement__bce14d71c8.png","atlas\achievement.assetbundle","357","357","copiada_desde_cliente"
"titles","mingwenxingtu_title_di_bg","assets/images/game-data/titles/mingwenxingtu_title_di_bg__atlas__achievement__6571517b9c.png","atlas\achievement.assetbundle","197","12","copiada_desde_cliente"
"other-ui","chengjiu_cjdc_tx","assets/images/game-data/other-ui/chengjiu_cjdc_tx__atlas__achievement__d86fab9552.png","atlas\achievement.assetbundle","134","100","copiada_desde_cliente"
"other-ui","tujianxiton_xingxing_zi_da_icon","assets/images/game-data/other-ui/tujianxiton_xingxing_zi_da_icon__atlas__achievement__a3dc643c0e.png","atlas\achievement.assetbundle","36","36","copiada_desde_cliente"
"other-ui","quality7","assets/images/game-data/other-ui/quality7__atlas__achievement__ffd576fd87.png","atlas\achievement.assetbundle","68","50","copiada_desde_cliente"
"other-ui","julingtan_choukataizi_bg","assets/images/game-data/other-ui/julingtan_choukataizi_bg__atlas__achievement__c4e9dde488.png","atlas\achievement.assetbundle","922","667","copiada_desde_cliente"
"other-ui","chengjiu_tanchuangtiao_heng_zhai_H3S","assets/images/game-data/other-ui/chengjiu_tanchuangtiao_heng_zhai_H3S__atlas__achievement__7b89370fba.png","atlas\achievement.assetbundle","289","114","copiada_desde_cliente"
"other-ui","jika_dikuang_bg_9s","assets/images/game-data/other-ui/jika_dikuang_bg_9s__atlas__achievement__ef5d197ca3.png","atlas\achievement.assetbundle","16","15","copiada_desde_cliente"
"other-ui","jika_fenlan_bg_S3S","assets/images/game-data/other-ui/jika_fenlan_bg_S3S__atlas__achievement__cd38b1fdad.png","atlas\achievement.assetbundle","347","4","copiada_desde_cliente"
"other-ui","xian02","assets/images/game-data/other-ui/xian02__atlas__achievement__b50e42ff00.png","atlas\achievement.assetbundle","3","1","copiada_desde_cliente"
"other-ui","quality4","assets/images/game-data/other-ui/quality4__atlas__achievement__2e9a9dc327.png","atlas\achievement.assetbundle","68","50","copiada_desde_cliente"
"other-ui","tujianxiton_zhidi2_H3S","assets/images/game-data/other-ui/tujianxiton_zhidi2_H3S__atlas__achievement__fe89ee9b43.png","atlas\achievement.assetbundle","231","50","copiada_desde_cliente"
"other-ui","dingshi_huoyuedu_diban_bg","assets/images/game-data/other-ui/dingshi_huoyuedu_diban_bg__atlas__achievement__6836304700.png","atlas\achievement.assetbundle","117","111","copiada_desde_cliente"
"other-ui","xianmengyaoshou_qy_shijiandi_9s","assets/images/game-data/other-ui/xianmengyaoshou_qy_shijiandi_9s__atlas__acountrygodanimals__9712a2cfc2.png","atlas\acountrygodanimals.assetbundle","408","38","copiada_desde_cliente"
"other-ui","guojiashenshou_jindudi_bg","assets/images/game-data/other-ui/guojiashenshou_jindudi_bg__atlas__acountrygodanimals__085861fe52.png","atlas\acountrygodanimals.assetbundle","76","76","copiada_desde_cliente"
"other-ui","xianmengyaoshou_wenzidi_bg02_S3S","assets/images/game-data/other-ui/xianmengyaoshou_wenzidi_bg02_S3S__atlas__acountrygodanimals__494e825151.png","atlas\acountrygodanimals.assetbundle","148","36","copiada_desde_cliente"
"other-ui","guojiashenshou_jindu_bar","assets/images/game-data/other-ui/guojiashenshou_jindu_bar__atlas__acountrygodanimals__66530fda41.png","atlas\acountrygodanimals.assetbundle","72","72","copiada_desde_cliente"
"other-ui","guojiashenshou_jiangli_icon","assets/images/game-data/other-ui/guojiashenshou_jiangli_icon__atlas__acountrygodanimals__a4e40fd931.png","atlas\acountrygodanimals.assetbundle","46","47","copiada_desde_cliente"
"other-ui","xianmengyaoshou_shijiandi_9s","assets/images/game-data/other-ui/xianmengyaoshou_shijiandi_9s__atlas__acountrygodanimals__141c74521b.png","atlas\acountrygodanimals.assetbundle","361","44","copiada_desde_cliente"
"other-ui","redianzhigou_neirongdi_9s","assets/images/game-data/other-ui/redianzhigou_neirongdi_9s__atlas__actiafirecardfare__629c8d5226.png","atlas\actiafirecardfare.assetbundle","7","7","copiada_desde_cliente"
"other-ui","yuandingsansheng_xian_H3S","assets/images/game-data/other-ui/yuandingsansheng_xian_H3S__atlas__actiafirecardfare__465f5aa89a.png","atlas\actiafirecardfare.assetbundle","40","10","copiada_desde_cliente"
"other-ui","zhuxian_tgjq_jiantou","assets/images/game-data/other-ui/zhuxian_tgjq_jiantou__atlas__actiafirecardfare__9972030778.png","atlas\actiafirecardfare.assetbundle","41","38","copiada_desde_cliente"
"other-ui","lianchonghaoli_lingqu_btn","assets/images/game-data/other-ui/lianchonghaoli_lingqu_btn__atlas__actichargetotal__64768e5c57.png","atlas\actichargetotal.assetbundle","78","29","copiada_desde_cliente"
"other-ui","lianchonghaoli_tianshudi_bg_H3S","assets/images/game-data/other-ui/lianchonghaoli_tianshudi_bg_H3S__atlas__actichargetotal__b01a7f34f3.png","atlas\actichargetotal.assetbundle","10","42","copiada_desde_cliente"
"other-ui","lianchonghaoli_fengexian_bg","assets/images/game-data/other-ui/lianchonghaoli_fengexian_bg__atlas__actichargetotal__9e62d90c3a.png","atlas\actichargetotal.assetbundle","1","30","copiada_desde_cliente"
"other-ui","lianchonghaoli_wenbendi_bg02_H3S","assets/images/game-data/other-ui/lianchonghaoli_wenbendi_bg02_H3S__atlas__actichargetotal__5c35d64860.png","atlas\actichargetotal.assetbundle","300","44","copiada_desde_cliente"
"other-ui","lianchonghaoli_chendi_bg_9s","assets/images/game-data/other-ui/lianchonghaoli_chendi_bg_9s__atlas__actichargetotal__1c417b3d29.png","atlas\actichargetotal.assetbundle","176","10","copiada_desde_cliente"
"other-ui","lianchonghaoli_wenbendi_bg01_H3S","assets/images/game-data/other-ui/lianchonghaoli_wenbendi_bg01_H3S__atlas__actichargetotal__34ecfef6eb.png","atlas\actichargetotal.assetbundle","60","44","copiada_desde_cliente"
"other-ui","lianchonghaoli_buqian_btn","assets/images/game-data/other-ui/lianchonghaoli_buqian_btn__atlas__actichargetotal__d0ddaecd27.png","atlas\actichargetotal.assetbundle","78","29","copiada_desde_cliente"
"other-ui","yugaogongneng_suo_icon","assets/images/game-data/other-ui/yugaogongneng_suo_icon__atlas__acticontinuouscharging__0270f59fa6.png","atlas\acticontinuouscharging.assetbundle","82","82","copiada_desde_cliente"
"other-ui","lianchongtehui_frame_normal_bg","assets/images/game-data/other-ui/lianchongtehui_frame_normal_bg__atlas__acticontinuouscharging__e969cc00cd.png","atlas\acticontinuouscharging.assetbundle","133","133","copiada_desde_cliente"
"other-ui","lianchongtehui_jiantou_icon","assets/images/game-data/other-ui/lianchongtehui_jiantou_icon__atlas__acticontinuouscharging__6e847528c6.png","atlas\acticontinuouscharging.assetbundle","57","45","copiada_desde_cliente"
"other-ui","lianchongtehui_frame_light_bg","assets/images/game-data/other-ui/lianchongtehui_frame_light_bg__atlas__acticontinuouscharging__be25438559.png","atlas\acticontinuouscharging.assetbundle","137","138","copiada_desde_cliente"
"other-ui","jixiantiaozhan_list_dq_hui","assets/images/game-data/other-ui/jixiantiaozhan_list_dq_hui__atlas__actigreatchallenge__b4d8e7808b.png","atlas\actigreatchallenge.assetbundle","625","103","copiada_desde_cliente"
"other-ui","jixiantiaozhan_xingxidi1_bg","assets/images/game-data/other-ui/jixiantiaozhan_xingxidi1_bg__atlas__actigreatchallenge__600dd08348.png","atlas\actigreatchallenge.assetbundle","686","98","copiada_desde_cliente"
"other-ui","jixiantiaozhan_xingxidi2_bg","assets/images/game-data/other-ui/jixiantiaozhan_xingxidi2_bg__atlas__actigreatchallenge__56720d3bcf.png","atlas\actigreatchallenge.assetbundle","674","98","copiada_desde_cliente"
"other-ui","jixiantiaozhan_mane_bg","assets/images/game-data/other-ui/jixiantiaozhan_mane_bg__atlas__actigreatchallenge__c282b2594a.png","atlas\actigreatchallenge.assetbundle","52","242","copiada_desde_cliente"
"other-ui","jixiantiaozhan_xingxidi3_bg","assets/images/game-data/other-ui/jixiantiaozhan_xingxidi3_bg__atlas__actigreatchallenge__10b290dd11.png","atlas\actigreatchallenge.assetbundle","674","98","copiada_desde_cliente"
"other-ui","jixiantiaozhan_list_dq_zhuangshi","assets/images/game-data/other-ui/jixiantiaozhan_list_dq_zhuangshi__atlas__actigreatchallenge__adb79bf8eb.png","atlas\actigreatchallenge.assetbundle","152","101","copiada_desde_cliente"
"other-ui","jixiantiaozhan_zhidi_bg","assets/images/game-data/other-ui/jixiantiaozhan_zhidi_bg__atlas__actigreatchallenge__67ad3b945b.png","atlas\actigreatchallenge.assetbundle","38","38","copiada_desde_cliente"
"other-ui","jixiantiaozhan_xinfondi1_bg","assets/images/game-data/other-ui/jixiantiaozhan_xinfondi1_bg__atlas__actigreatchallenge__2edf208dab.png","atlas\actigreatchallenge.assetbundle","718","100","copiada_desde_cliente"
"other-ui","jixiantiaozhan_list_dq","assets/images/game-data/other-ui/jixiantiaozhan_list_dq__atlas__actigreatchallenge__b2f8dc8744.png","atlas\actigreatchallenge.assetbundle","622","100","copiada_desde_cliente"
"other-ui","jixiantiaozhan_xingxidi_bg","assets/images/game-data/other-ui/jixiantiaozhan_xingxidi_bg__atlas__actigreatchallenge__9f8d1bdb9d.png","atlas\actigreatchallenge.assetbundle","674","98","copiada_desde_cliente"
"other-ui","jiarizhaohui_wenzi_bg","assets/images/game-data/other-ui/jiarizhaohui_wenzi_bg__atlas__actiholidayretrieval__2f39a83afe.png","atlas\actiholidayretrieval.assetbundle","78","25","copiada_desde_cliente"
"other-ui","jiarizhaohui_shiyitubiao_Icon_139_cn","assets/images/game-data/other-ui/jiarizhaohui_shiyitubiao_Icon_139_cn__atlas__actiholidayretrieval__da86b82eca.png","atlas\actiholidayretrieval.assetbundle","70","70","copiada_desde_cliente"
"other-ui","jiarizhaohui_wenzidi_bg_H3S","assets/images/game-data/other-ui/jiarizhaohui_wenzidi_bg_H3S__atlas__actiholidayretrieval__57b0b023aa.png","atlas\actiholidayretrieval.assetbundle","245","34","copiada_desde_cliente"
"other-ui","jiarizhaohui_xiangqing_bg","assets/images/game-data/other-ui/jiarizhaohui_xiangqing_bg__atlas__actiholidayretrieval__fbf4b96d9f.png","atlas\actiholidayretrieval.assetbundle","216","541","copiada_desde_cliente"
"other-ui","jiarizhaohui_tanchuangtiao_heng_xiao_H3S","assets/images/game-data/other-ui/jiarizhaohui_tanchuangtiao_heng_xiao_H3S__atlas__actiholidayretrieval__ddab89261e.png","atlas\actiholidayretrieval.assetbundle","502","122","copiada_desde_cliente"
"other-ui","jiarizhaohui_zhaohuiquan_xiao","assets/images/game-data/other-ui/jiarizhaohui_zhaohuiquan_xiao__atlas__actiholidayretrieval__3b770126bc.png","atlas\actiholidayretrieval.assetbundle","35","34","copiada_desde_cliente"
"other-ui","JFDR_tanchuangdi@png","assets/images/game-data/other-ui/JFDR_tanchuangdi_png__atlas__actiholidayretrieval__6dea9ff0ed.png","atlas\actiholidayretrieval.assetbundle","272","231","copiada_desde_cliente"
"other-ui","jiarizhaohui_jindu_shuzikuang","assets/images/game-data/other-ui/jiarizhaohui_jindu_shuzikuang__atlas__actiholidayretrieval__968ac356c2.png","atlas\actiholidayretrieval.assetbundle","54","39","copiada_desde_cliente"
"other-ui","jiarizhaohui_shuliangdi_bg_H3S","assets/images/game-data/other-ui/jiarizhaohui_shuliangdi_bg_H3S__atlas__actiholidayretrieval__125a9b0b0d.png","atlas\actiholidayretrieval.assetbundle","141","30","copiada_desde_cliente"
"other-ui","jiarizhaohui_zhaohuiquan","assets/images/game-data/other-ui/jiarizhaohui_zhaohuiquan__atlas__actiholidayretrieval__24a2cc932d.png","atlas\actiholidayretrieval.assetbundle","75","72","copiada_desde_cliente"
"other-ui","jiarizhaohui_baoxiang","assets/images/game-data/other-ui/jiarizhaohui_baoxiang__atlas__actiholidayretrieval__b2eefa599d.png","atlas\actiholidayretrieval.assetbundle","119","100","copiada_desde_cliente"
"other-ui","jiarizhaohui_zhaohuiquan_shuliangdi_bg","assets/images/game-data/other-ui/jiarizhaohui_zhaohuiquan_shuliangdi_bg__atlas__actiholidayretrieval__9580de446a.png","atlas\actiholidayretrieval.assetbundle","117","26","copiada_desde_cliente"
"other-ui","jiarizhaohui_fengexian","assets/images/game-data/other-ui/jiarizhaohui_fengexian__atlas__actiholidayretrieval__a96a6a06f6.png","atlas\actiholidayretrieval.assetbundle","166","12","copiada_desde_cliente"
"other-ui","JFDR_tanchuangdi2@png","assets/images/game-data/other-ui/JFDR_tanchuangdi2_png__atlas__actiholidayretrieval__7193c4e517.png","atlas\actiholidayretrieval.assetbundle","272","231","copiada_desde_cliente"
"other-ui","kuafuhaoshengyin_lan_duan_btn","assets/images/game-data/other-ui/kuafuhaoshengyin_lan_duan_btn__atlas__actimegastar__20148d40ef.png","atlas\actimegastar.assetbundle","125","48","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tianshu_bg","assets/images/game-data/other-ui/qingyuanjuxing_tianshu_bg__atlas__actimegastar__617860af9b.png","atlas\actimegastar.assetbundle","56","56","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tuangou_jindu_di_bar_9s","assets/images/game-data/other-ui/qingyuanjuxing_tuangou_jindu_di_bar_9s__atlas__actimegastar__456bed0081.png","atlas\actimegastar.assetbundle","20","8","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tuangou_jindu_lv_bar_9s","assets/images/game-data/other-ui/qingyuanjuxing_tuangou_jindu_lv_bar_9s__atlas__actimegastar__ce9d0cdcb6.png","atlas\actimegastar.assetbundle","18","6","copiada_desde_cliente"
"other-ui","qingyuanjuxing_tuangou_dajiang_cheng","assets/images/game-data/other-ui/qingyuanjuxing_tuangou_dajiang_cheng__atlas__actimegastar__641562b794.png","atlas\actimegastar.assetbundle","110","110","copiada_desde_cliente"
"other-ui","qingyuanjuxing_haoyuou_sousuo_icon","assets/images/game-data/other-ui/qingyuanjuxing_haoyuou_sousuo_icon__atlas__actimegastar__0dd9800bf3.png","atlas\actimegastar.assetbundle","30","30","copiada_desde_cliente"
"other-ui","qingyuanjuxing_jiaodai01_bg","assets/images/game-data/other-ui/qingyuanjuxing_jiaodai01_bg__atlas__actimegastar__f1dfb749b4.png","atlas\actimegastar.assetbundle","76","59","copiada_desde_cliente"
