"modulo","archivo","cadena"
"data_abssy_boss__types","data_abssy_boss__types__lua_config_module_en_1__71a71eff53.txt","monster"
"data_abssy_boss__types","data_abssy_boss__types__lua_config_module_en_1__71a71eff53.txt","scene_id"
"data_advance_dungeon__dun","data_advance_dungeon__dun__lua_config_module_en_1__c2240b0328.txt","chapter"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","boss_id"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","boss_id_func"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","boss_play_id"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","boss_id"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","recommend_power"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","isweak"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_asura_boss__dungeons","data_asura_boss__dungeons__lua_config_module_en_1__937590b2b9.txt","Boss_402006_shengshanjuxiang_Bip001_L_Forearm,Bip001_L_Forearm#Boss_402006_shengshanjuxiang_Bip001_L_UpperArm,Bip001_L_UpperArm#Boss_402006_shengshanjuxiang_Bip001_R_Forearm,Bip001_R_Forearm#Boss_402006_shengshanjuxiang_Bip001_R_UpperArm,Bip001_R_UpperArm#Boss_402006_shengshanjuxiang_hand_R_01,hand_R_01#Boss_402006_shengshanjuxiang_weapon_R_01,weapon_R_01"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt",",Chapter IV - Dominate in all Directions"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","chapter"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter VI - The Purge"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter V - Governing Dome"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","*Chapter III - Bloodbath in the Clouds"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter II - Chaos Strike"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","-Chapter I - Entering the Celestial Realm"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter VI - The Purge"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter V - Governing Dome"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","*Chapter III - Bloodbath in the Clouds"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter II - Chaos Strike"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","-Chapter I - Entering the Celestial Realm"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter VI - The Purge"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter V - Governing Dome"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","*Chapter III - Bloodbath in the Clouds"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter II - Chaos Strike"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","-Chapter I - Entering the Celestial Realm"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter VI - The Purge"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter V - Governing Dome"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","*Chapter III - Bloodbath in the Clouds"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","Chapter II - Chaos Strike"
"data_advance_dungeon__chapter","data_advance_dungeon__chapter__lua_config_module_en_1__78948329c6.txt","-Chapter I - Entering the Celestial Realm"
"data_advance_dungeon","data_advance_dungeon__lua_config_module_en_1__493136fd3a.txt","dailyAward%data_advance_dungeon__dailyAward"
"data_advance_dungeon","data_advance_dungeon__lua_config_module_en_1__493136fd3a.txt","data_advance_dungeon__dun"
"data_advance_dungeon","data_advance_dungeon__lua_config_module_en_1__493136fd3a.txt","chapter""data_advance_dungeon__chapter"
"data_advance_dungeon","data_advance_dungeon__lua_config_module_en_1__493136fd3a.txt","section""data_advance_dungeon__section"
"data_artifact_boss","data_artifact_boss__lua_config_module_en_1__f532257004.txt","get_box data_artifact_boss__get_box"
"data_artifact_boss","data_artifact_boss__lua_config_module_en_1__f532257004.txt","get_boss!data_artifact_boss__get_boss"
"data_artifact_boss","data_artifact_boss__lua_config_module_en_1__f532257004.txt","data_artifact_boss__get_lv"
"data_artifact_boss","data_artifact_boss__lua_config_module_en_1__f532257004.txt","get_play!data_artifact_boss__get_play"
"data_artifact_boss","data_artifact_boss__lua_config_module_en_1__f532257004.txt","get_system#data_artifact_boss__get_system"
"data_abssy_boss__invest","data_abssy_boss__invest__lua_config_module_en_1__ec6c47af98.txt","/Chance to drop Array Shards upon boss kill"
"data_abssy_boss__invest","data_abssy_boss__invest__lua_config_module_en_1__ec6c47af98.txt","5Chance to drop 2-star Accessories upon boss kill"
"data_abssy_boss__invest","data_abssy_boss__invest__lua_config_module_en_1__ec6c47af98.txt","6Chance to drop Chaos Treasure Maps upon boss kill"
"data_abssy_boss__invest","data_abssy_boss__invest__lua_config_module_en_1__ec6c47af98.txt","5Chance to drop 2-star Accessories upon boss kill"
"data_abssy_boss__invest","data_abssy_boss__invest__lua_config_module_en_1__ec6c47af98.txt","6Chance to drop Chaos Treasure Maps upon boss kill"
"data_abssy_boss__invest","data_abssy_boss__invest__lua_config_module_en_1__ec6c47af98.txt","5Chance to drop 2-star Accessories upon boss kill"
