"nombre_interno","escena_clave","archivo","bundle","evidencia_boss_monster","nombre_visible","capitulo","requisito","recompensas","estado","fuente"
"shancefanli_liebiao02_bg","","shancefanli_liebiao02_bg__atlas__activityclosebeta__463e58c1b5.png","atlas\activityclosebeta.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"shancefanli_diban_H3S","","shancefanli_diban_H3S__atlas__activityclosebeta__062ed78fb1.png","atlas\activityclosebeta.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"shancefanli_wenzidi02_icon","","shancefanli_wenzidi02_icon__atlas__activityclosebeta__93b2d346a2.png","atlas\activityclosebeta.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"shancefanli_liebiao01_bg","","shancefanli_liebiao01_bg__atlas__activityclosebeta__fd7016331d.png","atlas\activityclosebeta.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"common_biaoqiandi_bg","","common_biaoqiandi_bg__atlas__activitynewrank__198babdfde.png","atlas\activitynewrank.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"kaifuchongbang_05_bg_H3S","","kaifuchongbang_05_bg_H3S__atlas__activitynewrank__628ff7d9f8.png","atlas\activitynewrank.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"kaifupaihangbang_wenandi_lv_bg","","kaifupaihangbang_wenandi_lv_bg__atlas__activitynewrank__45a5a636d6.png","atlas\activitynewrank.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"kaifuchongbang_03_bg","","kaifuchongbang_03_bg__atlas__activitynewrank__a9d500e527.png","atlas\activitynewrank.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"kaifuchongbang_fengexian_bg","","kaifuchongbang_fengexian_bg__atlas__activitynewrank__ae260c60d8.png","atlas\activitynewrank.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
"bianqiang_haoyoubang_bg3_9S","","bianqiang_haoyoubang_bg3_9S__atlas__activitynewrank__63440605e8.png","atlas\activitynewrank.assetbundle","2975","","","","","recurso-visual-sin-clave-de-escena","dungeons-index.csv"
