"categoria","nombre_interno","archivo_salida","bundle_origen","ancho","alto","evidencia_boss_monster_total","nota_relacion","fuente_catalogo"
"dungeons","shancefanli_liebiao02_bg","shancefanli_liebiao02_bg__atlas__activityclosebeta__463e58c1b5.png","atlas\activityclosebeta.assetbundle","118","254","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","shancefanli_diban_H3S","shancefanli_diban_H3S__atlas__activityclosebeta__062ed78fb1.png","atlas\activityclosebeta.assetbundle","60","32","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","shancefanli_wenzidi02_icon","shancefanli_wenzidi02_icon__atlas__activityclosebeta__93b2d346a2.png","atlas\activityclosebeta.assetbundle","61","61","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","shancefanli_liebiao01_bg","shancefanli_liebiao01_bg__atlas__activityclosebeta__fd7016331d.png","atlas\activityclosebeta.assetbundle","118","254","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","common_biaoqiandi_bg","common_biaoqiandi_bg__atlas__activitynewrank__198babdfde.png","atlas\activitynewrank.assetbundle","89","89","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","kaifuchongbang_05_bg_H3S","kaifuchongbang_05_bg_H3S__atlas__activitynewrank__628ff7d9f8.png","atlas\activitynewrank.assetbundle","65","97","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","kaifupaihangbang_wenandi_lv_bg","kaifupaihangbang_wenandi_lv_bg__atlas__activitynewrank__45a5a636d6.png","atlas\activitynewrank.assetbundle","315","84","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","kaifuchongbang_03_bg","kaifuchongbang_03_bg__atlas__activitynewrank__a9d500e527.png","atlas\activitynewrank.assetbundle","1024","75","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","kaifuchongbang_fengexian_bg","kaifuchongbang_fengexian_bg__atlas__activitynewrank__ae260c60d8.png","atlas\activitynewrank.assetbundle","1","30","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
"dungeons","bianqiang_haoyoubang_bg3_9S","bianqiang_haoyoubang_bg3_9S__atlas__activitynewrank__63440605e8.png","atlas\activitynewrank.assetbundle","3","3","2975","El catÃ¡logo de iconos no contiene por sÃ­ solo un ID de escena; conservar relaciÃ³n como pendiente de resolver con datos de escena.","dungeons.csv"
