"categoria","nombre","archivo_salida","bundle_origen","ancho","alto"
"objects-equipment","equipType08","equipType08__atlas__bag__058c9a4ac1.png","atlas\bag.assetbundle","55","67"
"objects-equipment","equipType62","equipType62__atlas__bag__387b456932.png","atlas\bag.assetbundle","59","64"
"objects-equipment","equipType22","equipType22__atlas__bag__97e3f26c0d.png","atlas\bag.assetbundle","59","64"
"objects-equipment","equipType41","equipType41__atlas__bag__8b34680c82.png","atlas\bag.assetbundle","69","74"
"objects-equipment","equipType04","equipType04__atlas__bag__c2d3dced41.png","atlas\bag.assetbundle","60","76"
"objects-equipment","equipType12","equipType12__atlas__bag__f24e410af5.png","atlas\bag.assetbundle","59","64"
"objects-equipment","equipType010","equipType010__atlas__bag__caa08404ad.png","atlas\bag.assetbundle","61","76"
"objects-equipment","equipType42","equipType42__atlas__bag__8ff8155268.png","atlas\bag.assetbundle","59","64"
"objects-equipment","equipType09","equipType09__atlas__bag__e95eb7374f.png","atlas\bag.assetbundle","59","59"
"objects-equipment","equipType61","equipType61__atlas__bag__ded4650e17.png","atlas\bag.assetbundle","69","74"
"objects-equipment","equipType52","equipType52__atlas__bag__80a8c1a714.png","atlas\bag.assetbundle","59","64"
"objects-equipment","equipType012","equipType012__atlas__bag__04b8e050a7.png","atlas\bag.assetbundle","67","64"
"objects-equipment","equipType11","equipType11__atlas__bag__0a8a1b2c8c.png","atlas\bag.assetbundle","69","74"
"objects-equipment","equipType51","equipType51__atlas__bag__3d2f8d7f30.png","atlas\bag.assetbundle","69","74"
"objects-equipment","equipType21","equipType21__atlas__bag__a06e717d83.png","atlas\bag.assetbundle","69","74"
"objects-equipment","ringIconBg","ringIconBg__atlas__bag__16d731ae97.png","atlas\bag.assetbundle","62","67"
"objects-equipment","equipType07","equipType07__atlas__bag__3e2d574476.png","atlas\bag.assetbundle","63","58"
"objects-equipment","equipType31","equipType31__atlas__bag__4f5eaea2bf.png","atlas\bag.assetbundle","69","74"
"objects-equipment","equipType05","equipType05__atlas__bag__e15e217e4c.png","atlas\bag.assetbundle","70","59"
"objects-equipment","equipType32","equipType32__atlas__bag__61a14432d8.png","atlas\bag.assetbundle","59","64"
"objects-equipment","equipType06","equipType06__atlas__bag__3fb49e616a.png","atlas\bag.assetbundle","65","63"
"objects-equipment","equipType03","equipType03__atlas__bag__0bde754568.png","atlas\bag.assetbundle","78","64"
"objects-equipment","equipType011","equipType011__atlas__bag__d7869f1f29.png","atlas\bag.assetbundle","71","62"
"objects-equipment","num2","num2__atlas__chargemorepool__956e9ddbef.png","atlas\chargemorepool.assetbundle","46","63"
"objects-equipment","leichonmiaomiao_maobi_icon","leichonmiaomiao_maobi_icon__atlas__chargemorepool__df0d6c9643.png","atlas\chargemorepool.assetbundle","31","32"
"objects-equipment","num8","num8__atlas__chargemorepool__6e4eb1d939.png","atlas\chargemorepool.assetbundle","45","64"
"objects-equipment","num4","num4__atlas__chargemorepool__6a0887c247.png","atlas\chargemorepool.assetbundle","46","62"
"objects-equipment","leichonmiaomiao_chouqu_btn","leichonmiaomiao_chouqu_btn__atlas__chargemorepool__3adad65b27.png","atlas\chargemorepool.assetbundle","264","69"
"objects-equipment","num7","num7__atlas__chargemorepool__1ca85a8f74.png","atlas\chargemorepool.assetbundle","42","62"
"objects-equipment","num1","num1__atlas__chargemorepool__6a5f6d4a48.png","atlas\chargemorepool.assetbundle","38","62"
"objects-equipment","num0","num0__atlas__chargemorepool__7947d28f9d.png","atlas\chargemorepool.assetbundle","44","64"
"objects-equipment","num9","num9__atlas__chargemorepool__796e068694.png","atlas\chargemorepool.assetbundle","46","64"
"objects-equipment","num3","num3__atlas__chargemorepool__6dabbfb381.png","atlas\chargemorepool.assetbundle","46","64"
"objects-equipment","num5","num5__atlas__chargemorepool__cfab204c2f.png","atlas\chargemorepool.assetbundle","46","63"
"objects-equipment","leixiaozhuanpan_liebiaodiban_bg_H3S","leixiaozhuanpan_liebiaodiban_bg_H3S__atlas__chargemorepool__18979baaab.png","atlas\chargemorepool.assetbundle","47","91"
"objects-equipment","num6","num6__atlas__chargemorepool__bbc02f691a.png","atlas\chargemorepool.assetbundle","45","64"
"objects-equipment","baoshi_weixuanzhong","baoshi_weixuanzhong__atlas__equip__b19f291422.png","atlas\equip.assetbundle","109","109"
"objects-equipment","shijianzhixin_guang","shijianzhixin_guang__atlas__equip__62a0dab01f.png","atlas\equip.assetbundle","375","29"
"objects-equipment","shijianzhixin_jieji_bg","shijianzhixin_jieji_bg__atlas__equip__a19c9c1c1e.png","atlas\equip.assetbundle","58","20"
"objects-equipment","zhuangbeidazao_hechengdi1_weixuan_bar_S3S","zhuangbeidazao_hechengdi1_weixuan_bar_S3S__atlas__equip__393e67d9d5.png","atlas\equip.assetbundle","20","18"
"objects-equipment","shijianzhixin_equipType09","shijianzhixin_equipType09__atlas__equip__f40ee9ce4d.png","atlas\equip.assetbundle","76","76"
