"id","nombre","descripcion","go_to","source_match_count","source_names","bundle","icono_relativo","fuente_catalogo"
"30060001","A Bag of Gold Coins","Use to activate Big Spender Title -","10","0","","","assets/images/game-data/goods/30060001.png","goods-item-catalog.csv"
"45061036","Advanced","","6025","0","","","assets/images/game-data/goods/45061036.png","goods-item-catalog.csv"
"45061339","Advanced","","6025","0","","","assets/images/game-data/goods/45061339.png","goods-item-catalog.csv"
"45061340","Advanced","","6025","0","","","assets/images/game-data/goods/45061340.png","goods-item-catalog.csv"
"45061341","Advanced","","6025","0","","","assets/images/game-data/goods/45061341.png","goods-item-catalog.csv"
"45061342","Advanced","","6025","0","","","assets/images/game-data/goods/45061342.png","goods-item-catalog.csv"
"30450006","Advanced Souvenir","Will be deleted after the event series ends. - TA Regular Souvenir. Using it during a feast grants both sides Feast Points","7114","0","","","assets/images/game-data/goods/30450006.png","goods-item-catalog.csv"
"48180002","Aether Realm","","0","101","Activeness Chest | Activeness Pass | Alliance Beast | Alliance Pass | Ancient Vein | Antique | Arcadia Search | Archive Jump ID | Arena Points Chest | Array System | Attire Competition | Ball Present | Celestial Realm | Compass | Contest Deal | Customize Title | Daily Pack | Daily Rebate | Daily Spending | Daily Top-Up | Divine Compass | Divinity System | Dragon Treasure | Drakefire Legacy | Exchange Store | Expedition | Extreme Challenge | Fairyland Escort | Fairyland Quest | Fairyland Trade | Find NPC | First Top-Up | Fishing | Fishing Interface | Five Spirits Demon Seal | Fortune Deluxe Gift | Fortune Voucher | Free Deal | Friend | Friend's Gift | Fund Investment | Fuse | Gear Awakening | Glyph | Godsend System | Guild Chest | Guild Renaming | Holyweapon Descent | icon | Immortal Trial | Level Rewards | Loot Crate Opening | Lucky Freebie | Lucky Smash Egg | Mandate | Mandate Appraisal | Maze Treasure Search | Merit Chest | Mine Expedition | Mirage Arcadia | Monthly Card Weekly Card | New Server Co-buy | New Server Goal | Noah Vault | Northern Abyss | Number Collection Draw | Official's Salary | Path of Growth | Phoenix Feather Treasure | Point Master | Realm Clash | Road to Immortal | Rune Chest | Rune Crafting | Sacred Mountain Realm | Sea Palace Arcadia | Server Treasure Search | Single Top-Up Rebate | Skill System | Snow Exploration | Soul System | Spending Contest | Spirit Awakening | Spirit Clash | Spirit Root Fuse | Spirit Root System | Spirit Spring Trove | Technique | Technique DTC | Time Adventure | Time Arcadia | Time Realm | Timeforge Trial | Total Top-Up | Treasure Hunt | Trinket System | type | Verdure Shrine | Warrior's Challenge | Wishing Tower | Xenobeast","","assets/images/game-data/goods/48180002.png","goods-item-catalog.csv"
"42014301","Alkaid Archive","Used to activate or improve Archive - Mercury","9001","0","","","assets/images/game-data/goods/42014301.png","goods-item-catalog.csv"
"46022074","Ancient Qiongqi","","6055","0","","","assets/images/game-data/goods/46022074.png","goods-item-catalog.csv"
"42010001","Archive Essence","","6027","0","","","assets/images/game-data/goods/42010001.png","goods-item-catalog.csv"
"46140058","Armored Devourer","","7008","0","","","assets/images/game-data/goods/46140058.png","goods-item-catalog.csv"
"46070026","Armored Flyblade","","7008","0","","","assets/images/game-data/goods/46070026.png","goods-item-catalog.csv"
"30400026","Artifact Item","","7102","0","","","assets/images/game-data/goods/30400026.png","goods-item-catalog.csv"
"30400028","Artifact Item","","7102","0","","","assets/images/game-data/goods/30400028.png","goods-item-catalog.csv"
"69030002","Aura Crystalline","A required Crystalline for training supreme Techniques; used for Technique Cultivation","7052","0","","","assets/images/game-data/goods/69030002.png","goods-item-catalog.csv"
"42019116","Autumn Equinox Archive","Used to activate or improve Archive - White Dew","9001","0","","","assets/images/game-data/goods/42019116.png","goods-item-catalog.csv"
"46052163","Autumn's Reflection - Emerald","","6058","0","","","assets/images/game-data/goods/46052163.png","goods-item-catalog.csv"
