"recurso_id","categoria","nombre_interno","archivo_salida","bundle_origen","ancho","alto","fuente_catalogo"
"icon-ab 84 36 ef","dungeons","1_1_1","1_1_1__atlas__advancedungeon__e5a97e0fe7.png","atlas\advancedungeon.assetbundle","163","118","icon-catalog.csv"
"icon-b3 e2 fd 67","dungeons","1_1_10","1_1_10__atlas__advancedungeon__1c31af3900.png","atlas\advancedungeon.assetbundle","79","172","icon-catalog.csv"
"icon-a6 2f a3 71","dungeons","1_1_11","1_1_11__atlas__advancedungeon__c5b235cf78.png","atlas\advancedungeon.assetbundle","60","83","icon-catalog.csv"
"icon-65 6b 62 45","dungeons","1_1_12","1_1_12__atlas__advancedungeon__a16c31453e.png","atlas\advancedungeon.assetbundle","190","71","icon-catalog.csv"
"icon-b9 7d 0a e9","dungeons","1_1_13","1_1_13__atlas__advancedungeon__bab94778d3.png","atlas\advancedungeon.assetbundle","118","189","icon-catalog.csv"
"icon-17 ca 2a a8","dungeons","1_1_14","1_1_14__atlas__advancedungeon__8e17e27b4e.png","atlas\advancedungeon.assetbundle","89","131","icon-catalog.csv"
"icon-0b f2 d0 dd","dungeons","1_1_15","1_1_15__atlas__advancedungeon__7f3a9a3f05.png","atlas\advancedungeon.assetbundle","160","146","icon-catalog.csv"
"icon-47 18 98 b2","dungeons","1_1_16","1_1_16__atlas__advancedungeon__3fbf2b2512.png","atlas\advancedungeon.assetbundle","77","91","icon-catalog.csv"
"icon-4c f8 6a c5","dungeons","1_1_17","1_1_17__atlas__advancedungeon__ff3c226bd1.png","atlas\advancedungeon.assetbundle","107","198","icon-catalog.csv"
"icon-13 27 26 9f","dungeons","1_1_18","1_1_18__atlas__advancedungeon__9801d0e610.png","atlas\advancedungeon.assetbundle","78","172","icon-catalog.csv"
"icon-75 5c b4 4f","dungeons","1_1_19","1_1_19__atlas__advancedungeon__798f19e35b.png","atlas\advancedungeon.assetbundle","122","56","icon-catalog.csv"
"icon-0f 4f f3 93","dungeons","1_1_2","1_1_2__atlas__advancedungeon__f2d2bd94c4.png","atlas\advancedungeon.assetbundle","89","168","icon-catalog.csv"
"icon-96 84 83 fe","dungeons","1_1_3","1_1_3__atlas__advancedungeon__c2fb1b5f44.png","atlas\advancedungeon.assetbundle","116","128","icon-catalog.csv"
"icon-c1 55 81 4a","dungeons","1_1_4","1_1_4__atlas__advancedungeon__9eabc28d5f.png","atlas\advancedungeon.assetbundle","110","89","icon-catalog.csv"
"icon-75 e7 23 90","dungeons","1_1_5","1_1_5__atlas__advancedungeon__2e7155b133.png","atlas\advancedungeon.assetbundle","137","98","icon-catalog.csv"
"icon-4f 6d f3 5e","dungeons","1_1_6","1_1_6__atlas__advancedungeon__e434baa587.png","atlas\advancedungeon.assetbundle","62","184","icon-catalog.csv"
"icon-2d e4 2e 47","dungeons","1_1_7","1_1_7__atlas__advancedungeon__0686fdce16.png","atlas\advancedungeon.assetbundle","123","56","icon-catalog.csv"
"icon-ac ee 6f 7d","dungeons","1_1_8","1_1_8__atlas__advancedungeon__b14d6e4cb8.png","atlas\advancedungeon.assetbundle","72","197","icon-catalog.csv"
"icon-62 c6 a7 d0","dungeons","1_1_9","1_1_9__atlas__advancedungeon__ef28dd295c.png","atlas\advancedungeon.assetbundle","132","100","icon-catalog.csv"
"icon-5c 16 73 ea","dungeons","2_2_1","2_2_1__atlas__advancedungeon__acee35adf7.png","atlas\advancedungeon.assetbundle","78","105","icon-catalog.csv"
"icon-c7 40 80 fc","dungeons","2_2_10","2_2_10__atlas__advancedungeon__8072cfd71d.png","atlas\advancedungeon.assetbundle","100","131","icon-catalog.csv"
"icon-4b d1 d7 a5","dungeons","2_2_11","2_2_11__atlas__advancedungeon__9ea99429ac.png","atlas\advancedungeon.assetbundle","150","70","icon-catalog.csv"
"icon-42 f4 6a f2","dungeons","2_2_12","2_2_12__atlas__advancedungeon__2f02d0c1a4.png","atlas\advancedungeon.assetbundle","49","100","icon-catalog.csv"
"icon-5b 4f 18 58","dungeons","2_2_13","2_2_13__atlas__advancedungeon__94937c9884.png","atlas\advancedungeon.assetbundle","75","146","icon-catalog.csv"
"icon-84 bb 9a 0d","dungeons","2_2_14","2_2_14__atlas__advancedungeon__b61531add0.png","atlas\advancedungeon.assetbundle","161","73","icon-catalog.csv"
"icon-24 95 93 55","dungeons","2_2_15","2_2_15__atlas__advancedungeon__4f27c0685e.png","atlas\advancedungeon.assetbundle","49","86","icon-catalog.csv"
"icon-e8 8d 3b 4c","dungeons","2_2_16","2_2_16__atlas__advancedungeon__2e9d0a6e3d.png","atlas\advancedungeon.assetbundle","99","255","icon-catalog.csv"
"icon-f7 66 88 62","dungeons","2_2_17","2_2_17__atlas__advancedungeon__f5b017a2d9.png","atlas\advancedungeon.assetbundle","136","78","icon-catalog.csv"
"icon-7c 56 4a fb","dungeons","2_2_18","2_2_18__atlas__advancedungeon__58bf4f4c17.png","atlas\advancedungeon.assetbundle","65","146","icon-catalog.csv"
"icon-cb a6 4c d4","dungeons","2_2_19","2_2_19__atlas__advancedungeon__c3a4fac357.png","atlas\advancedungeon.assetbundle","140","71","icon-catalog.csv"
"icon-c5 ba 4f d9","dungeons","2_2_2","2_2_2__atlas__advancedungeon__7e0dcd04b0.png","atlas\advancedungeon.assetbundle","91","158","icon-catalog.csv"
"icon-e4 df f8 2d","dungeons","2_2_3","2_2_3__atlas__advancedungeon__31a6363608.png","atlas\advancedungeon.assetbundle","100","74","icon-catalog.csv"
"icon-8b cc ee 2a","dungeons","2_2_4","2_2_4__atlas__advancedungeon__6fdce98310.png","atlas\advancedungeon.assetbundle","196","50","icon-catalog.csv"
"icon-93 87 2d c2","dungeons","2_2_5","2_2_5__atlas__advancedungeon__1d71665ab8.png","atlas\advancedungeon.assetbundle","113","161","icon-catalog.csv"
