"dungeon_id","record_type","scene_id","name","chapter","scene_config","icon_path","bundle","width","height","source_file","version_source","evidence"
"dungeon-icon-bd6d518efe139321","dungeon_visual_resource","","shancefanli_liebiao02_bg","","","shancefanli_liebiao02_bg__atlas__activityclosebeta__463e58c1b5.png","atlas/activityclosebeta.assetbundle","118","254","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-b59a8aa072e13c6d","dungeon_visual_resource","","shancefanli_diban_H3S","","","shancefanli_diban_H3S__atlas__activityclosebeta__062ed78fb1.png","atlas/activityclosebeta.assetbundle","60","32","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-65eefc6ef950b66c","dungeon_visual_resource","","shancefanli_wenzidi02_icon","","","shancefanli_wenzidi02_icon__atlas__activityclosebeta__93b2d346a2.png","atlas/activityclosebeta.assetbundle","61","61","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-cef28246c4f2becc","dungeon_visual_resource","","shancefanli_liebiao01_bg","","","shancefanli_liebiao01_bg__atlas__activityclosebeta__fd7016331d.png","atlas/activityclosebeta.assetbundle","118","254","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-c5f9bcae2b393899","dungeon_visual_resource","","common_biaoqiandi_bg","","","common_biaoqiandi_bg__atlas__activitynewrank__198babdfde.png","atlas/activitynewrank.assetbundle","89","89","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-8680ca53cbfac1ac","dungeon_visual_resource","","kaifuchongbang_05_bg_H3S","","","kaifuchongbang_05_bg_H3S__atlas__activitynewrank__628ff7d9f8.png","atlas/activitynewrank.assetbundle","65","97","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-14a7c20daaa5e2e5","dungeon_visual_resource","","kaifupaihangbang_wenandi_lv_bg","","","kaifupaihangbang_wenandi_lv_bg__atlas__activitynewrank__45a5a636d6.png","atlas/activitynewrank.assetbundle","315","84","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-57c41d867c1a9a4c","dungeon_visual_resource","","kaifuchongbang_03_bg","","","kaifuchongbang_03_bg__atlas__activitynewrank__a9d500e527.png","atlas/activitynewrank.assetbundle","1024","75","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-c40ee3965bea59cc","dungeon_visual_resource","","kaifuchongbang_fengexian_bg","","","kaifuchongbang_fengexian_bg__atlas__activitynewrank__ae260c60d8.png","atlas/activitynewrank.assetbundle","1","30","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
"dungeon-icon-db5a76d82f4a7c37","dungeon_visual_resource","","bianqiang_haoyoubang_bg3_9S","","","bianqiang_haoyoubang_bg3_9S__atlas__activitynewrank__63440605e8.png","atlas/activitynewrank.assetbundle","3","3","analisis/catalogos/dungeons.csv","Google Play LDPlayer","recurso visual de dungeon"
