"nombre","evidencia"
"Abyss Golden Dragon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Abyss Guardian","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Abyss Ice Phoenix","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Abyss Kunpeng","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Abyss Taotie","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Abyss Yinglong","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Academy Scribe","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Acolyte Abin","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"action_idle","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"action_run","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Alchemy Furnace","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Alliance Falcon","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Alliance Heavenly Dog","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Alliance Sentry","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ancient Aquaspirit","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Ancient Flame Qiongqi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Angry Cultivator","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Aquatic Minions","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Array Nexus","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Array VFX","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Art Attendant","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Asura","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Asura Lostsoul","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Atsplit","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Attire Fairy","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Attonumber","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Auspicious Dragon Scroll","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Austere Immortal","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"autoFightFirst","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Autumn Cloud","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Autumn Painting","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Azure Child","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"B__default_value","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Backup NPC","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Backup Pathfinding Monster","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bad Fox","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bai Shenshen","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bai Ye","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bai Yinqiu","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"banSpin","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Baopuzi","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"bconfig_data","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Beast Path Lostsoul","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Beauties in Old Age","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bei Yase","Aparece en al menos un modulo data_mon_* en ingles del cliente."
"Bengyue","Aparece en al menos un modulo data_mon_* en ingles del cliente."
