"categoria","nombre","archivo_salida","bundle_origen","ancho","alto"
"outfits-fashion","xztb01","xztb01__atlas__careerfashion__0e1bb3389c.png","atlas\careerfashion.assetbundle","48","51"
"outfits-fashion","xztb05","xztb05__atlas__careerfashion__2d3e821da3.png","atlas\careerfashion.assetbundle","50","56"
"outfits-fashion","mingwenxingtu_liebiao_bg","mingwenxingtu_liebiao_bg__atlas__careerfashion__6ca9fc380c.png","atlas\careerfashion.assetbundle","166","206"
"outfits-fashion","xztb04","xztb04__atlas__careerfashion__f2ced40ff5.png","atlas\careerfashion.assetbundle","42","53"
"outfits-fashion","xingtukuang1","xingtukuang1__atlas__careerfashion__cf68395a5c.png","atlas\careerfashion.assetbundle","74","74"
"outfits-fashion","bingkuaikuang","bingkuaikuang__atlas__careerfashion__367ede6d61.png","atlas\careerfashion.assetbundle","64","64"
"outfits-fashion","xztb00","xztb00__atlas__careerfashion__0c46ab6443.png","atlas\careerfashion.assetbundle","67","67"
"outfits-fashion","shengxiao_jianyingtubiao1_bg","shengxiao_jianyingtubiao1_bg__atlas__careerfashion__8eae176727.png","atlas\careerfashion.assetbundle","36","49"
"outfits-fashion","xztb02","xztb02__atlas__careerfashion__ac0fc042d9.png","atlas\careerfashion.assetbundle","51","51"
"outfits-fashion","shengxiao_tubiaodi_bg","shengxiao_tubiaodi_bg__atlas__careerfashion__c2a27cb702.png","atlas\careerfashion.assetbundle","98","111"
"outfits-fashion","highLight_2","highLight_2__atlas__careerfashion__3750eafbdd.png","atlas\careerfashion.assetbundle","74","74"
"outfits-fashion","xingtukuang2","xingtukuang2__atlas__careerfashion__9234826ecc.png","atlas\careerfashion.assetbundle","74","74"
"outfits-fashion","duiwu_jiahao_icon","duiwu_jiahao_icon__atlas__careerfashion__d07c604948.png","atlas\careerfashion.assetbundle","57","57"
"outfits-fashion","xztb09","xztb09__atlas__careerfashion__32bd137987.png","atlas\careerfashion.assetbundle","50","54"
"outfits-fashion","shengxiao_jianyingtubiao2_bg","shengxiao_jianyingtubiao2_bg__atlas__careerfashion__26b61885ce.png","atlas\careerfashion.assetbundle","46","63"
"outfits-fashion","xingtukuang3","xingtukuang3__atlas__careerfashion__31dad325cb.png","atlas\careerfashion.assetbundle","74","74"
"outfits-fashion","mingwenxingtu_wenandi_bg","mingwenxingtu_wenandi_bg__atlas__careerfashion__2da8e4a82c.png","atlas\careerfashion.assetbundle","186","15"
"outfits-fashion","xztb03","xztb03__atlas__careerfashion__8155530619.png","atlas\careerfashion.assetbundle","49","57"
"outfits-fashion","xztb12","xztb12__atlas__careerfashion__243ea31728.png","atlas\careerfashion.assetbundle","50","52"
"outfits-fashion","highLight_1","highLight_1__atlas__careerfashion__9447f863d9.png","atlas\careerfashion.assetbundle","74","74"
"outfits-fashion","shengxiao_tubiaodi_babianxing_bg","shengxiao_tubiaodi_babianxing_bg__atlas__careerfashion__01a3b5d99d.png","atlas\careerfashion.assetbundle","127","127"
"outfits-fashion","shouqijiantou","shouqijiantou__atlas__careerfashion__eb66886c95.png","atlas\careerfashion.assetbundle","34","48"
"outfits-fashion","yugaogongneng_suo_icon","yugaogongneng_suo_icon__atlas__careerfashion__a7e05c3903.png","atlas\careerfashion.assetbundle","82","82"
"outfits-fashion","xztb06","xztb06__atlas__careerfashion__6abfa31721.png","atlas\careerfashion.assetbundle","39","55"
"outfits-fashion","xztb10","xztb10__atlas__careerfashion__dd4f9e7948.png","atlas\careerfashion.assetbundle","48","53"
"outfits-fashion","highLight_3","highLight_3__atlas__careerfashion__493f19de19.png","atlas\careerfashion.assetbundle","74","74"
"outfits-fashion","xztb11","xztb11__atlas__careerfashion__1753ef9f3f.png","atlas\careerfashion.assetbundle","60","40"
"outfits-fashion","mingwenxingtu_zhuangshidi_bg","mingwenxingtu_zhuangshidi_bg__atlas__careerfashion__fc5831f389.png","atlas\careerfashion.assetbundle","293","222"
"outfits-fashion","xztb07","xztb07__atlas__careerfashion__d9381c57e5.png","atlas\careerfashion.assetbundle","50","56"
"outfits-fashion","xztb08","xztb08__atlas__careerfashion__466bd72f67.png","atlas\careerfashion.assetbundle","43","46"
