"categoria","nombre","archivo_salida","bundle_origen","ancho","alto"
"skills","SkillBtnIcon6","SkillBtnIcon6__atlas__mainui__eb6993df43.png","atlas\mainui.assetbundle","166","163"
"skills","SkillBtnIcon3","SkillBtnIcon3__atlas__mainui__064db01670.png","atlas\mainui.assetbundle","122","122"
"skills","SkillBtnIconDragon","SkillBtnIconDragon__atlas__mainui__d87b8e6dc6.png","atlas\mainui.assetbundle","166","163"
"skills","SkillBtnIcon2","SkillBtnIcon2__atlas__mainui__d3bcc37b65.png","atlas\mainui.assetbundle","122","122"
"skills","SkillBtnIcon1","SkillBtnIcon1__atlas__mainui__96205d262b.png","atlas\mainui.assetbundle","122","122"
"skills","Skillbox","Skillbox__atlas__mainui__2dd6c7014d.png","atlas\mainui.assetbundle","86","87"
"skills","SkillBtnIcon5","SkillBtnIcon5__atlas__mainui__2c6a84d817.png","atlas\mainui.assetbundle","166","163"
"skills","SkillBtnIcon4","SkillBtnIcon4__atlas__mainui__cf0d45fe56.png","atlas\mainui.assetbundle","122","122"
"skills","kaiguangbg2","kaiguangbg2__atlas__nskilleditor__72f413f0e9.png","atlas\nskilleditor.assetbundle","20","20"
"skills","button","button__atlas__nskilleditor__0d8c9eb48e.png","atlas\nskilleditor.assetbundle","171","62"
"skills","fanyejiantou","fanyejiantou__atlas__nskilleditor__56ae7e5510.png","atlas\nskilleditor.assetbundle","33","25"
"skills","closebutton","closebutton__atlas__nskilleditor__532c45e8bd.png","atlas\nskilleditor.assetbundle","37","36"
"skills","gou","gou__atlas__nskilleditor__73f8560c10.png","atlas\nskilleditor.assetbundle","53","42"
"skills","Textbaseboard2","Textbaseboard2__atlas__nskilleditor__fc25501d73.png","atlas\nskilleditor.assetbundle","240","68"
"skills","kaiguangbg","kaiguangbg__atlas__nskilleditor__7029c6ffcc.png","atlas\nskilleditor.assetbundle","45","45"
"skills","shanchu","shanchu__atlas__nskilleditor__759e23b1a0.png","atlas\nskilleditor.assetbundle","24","29"
"skills","RightTabBg","RightTabBg__atlas__nskilleditor__74f5196a5e.png","atlas\nskilleditor.assetbundle","119","749"
"skills","heibg01","heibg01__atlas__nskilleditor__f6eaf97183.png","atlas\nskilleditor.assetbundle","42","42"
"skills","fanhuiyuan","fanhuiyuan__atlas__nskilleditor__c85b57059b.png","atlas\nskilleditor.assetbundle","28","28"
"skills","cha","cha__atlas__nskilleditor__8cc44d1f72.png","atlas\nskilleditor.assetbundle","28","28"
"skills","frameBg2_deep","frameBg2_deep__atlas__nskilleditor__4fadc6824c.png","atlas\nskilleditor.assetbundle","34","34"
"skills","jineng_pugongandi_bg","jineng_pugongandi_bg__atlas__skill__4346ce8fab.png","atlas\skill.assetbundle","353","354"
"skills","jineng_zhezhao_bg","jineng_zhezhao_bg__atlas__skill__cdbbb7262e.png","atlas\skill.assetbundle","106","106"
"skills","jineng_tanchuangyuandi_bg","jineng_tanchuangyuandi_bg__atlas__skill__093ba3b4cc.png","atlas\skill.assetbundle","250","250"
"skills","jineng_shuziyuandi_bg","jineng_shuziyuandi_bg__atlas__skill__eee0ec528c.png","atlas\skill.assetbundle","30","30"
"skills","jineng_jinengyuandi_bg","jineng_jinengyuandi_bg__atlas__skill__f0f411c3bc.png","atlas\skill.assetbundle","106","106"
"skills","jineng_jiantou_jin_9s","jineng_jiantou_jin_9s__atlas__skill__962436986f.png","atlas\skill.assetbundle","135","61"
"skills","jineng_jinengleibie_bg","jineng_jinengleibie_bg__atlas__skill__b70ceb7f29.png","atlas\skill.assetbundle","628","114"
"skills","yaoling_jianbianchendi_bg_9s","yaoling_jianbianchendi_bg_9s__atlas__skill__081486ec4c.png","atlas\skill.assetbundle","124","26"
"skills","jineng_xuanzhong_yuan","jineng_xuanzhong_yuan__atlas__skill__0f80facddc.png","atlas\skill.assetbundle","108","108"
"skills","jineng_jiantou_hui_9s","jineng_jiantou_hui_9s__atlas__skill__0017b2a30c.png","atlas\skill.assetbundle","124","49"
"skills","jineng_jinengxibie_H3S","jineng_jinengxibie_H3S__atlas__skill__b50f5ba48e.png","atlas\skill.assetbundle","22","24"
"skills","baoshi_shuxingtiao_9s","baoshi_shuxingtiao_9s__atlas__skill__9699b29b07.png","atlas\skill.assetbundle","124","16"
"skills","jineng_wumianshenyuan_icon_cn","jineng_wumianshenyuan_icon_cn__texture_v2_cn__en__skill__small_tex_all__8f098c0d42.png","texture_v2_cn\en\skill\small_tex_all.assetbundle","78","70"
