"categoria","nombre","archivo_salida","bundle_origen","ancho","alto"
"swordflight","xuanyu_lingshipinzhi_meikaiqi_bg_9S","xuanyu_lingshipinzhi_meikaiqi_bg_9S__atlas__sword__e05bf91a62.png","atlas\sword.assetbundle","10","10"
"swordflight","yujian_shenshoujianying_zhezhao_9s","yujian_shenshoujianying_zhezhao_9s__atlas__sword__bcd2c49fcd.png","atlas\sword.assetbundle","15","15"
"swordflight","swtxz_wenzidiban_bg_H3S","swtxz_wenzidiban_bg_H3S__atlas__sword__77991bb79f.png","atlas\sword.assetbundle","252","30"
"swordflight","xuanyu_lingshipinzhi_cai_bg2_S3S","xuanyu_lingshipinzhi_cai_bg2_S3S__atlas__sword__9f265acc8c.png","atlas\sword.assetbundle","214","10"
"swordflight","xuanyu_lingshipinzhi_chanchu_bg_9S","xuanyu_lingshipinzhi_chanchu_bg_9S__atlas__sword__ba73aa3879.png","atlas\sword.assetbundle","10","10"
"swordflight","yujian_dianhua_bar_03_S3S","yujian_dianhua_bar_03_S3S__atlas__sword__f67354eda1.png","atlas\sword.assetbundle","120","16"
"swordflight","swtxz_suo_bg","swtxz_suo_bg__atlas__sword__8973936066.png","atlas\sword.assetbundle","24","24"
"swordflight","xuanyu_lingshipinzhi_cheng_bg_9S","xuanyu_lingshipinzhi_cheng_bg_9S__atlas__sword__f4553d2283.png","atlas\sword.assetbundle","10","10"
"swordflight","xuanyu_lingshipinzhi_lv_bg_9S","xuanyu_lingshipinzhi_lv_bg_9S__atlas__sword__3e634de7f2.png","atlas\sword.assetbundle","10","10"
"swordflight","yujian_qinglong_btn","yujian_qinglong_btn__atlas__sword__fa09ddd1c2.png","atlas\sword.assetbundle","206","62"
"swordflight","xuanyu_zd_chilun_icon","xuanyu_zd_chilun_icon__atlas__sword__4dcdf59efd.png","atlas\sword.assetbundle","36","35"
"swordflight","yujian_xuanwu_btn","yujian_xuanwu_btn__atlas__sword__3f5544191e.png","atlas\sword.assetbundle","206","62"
"swordflight","xuanyu_lingshipinzhi_hong_bg_9S","xuanyu_lingshipinzhi_hong_bg_9S__atlas__sword__338b57bafb.png","atlas\sword.assetbundle","10","10"
