"categoria","nombre","archivo_salida","bundle_origen","ancho","alto"
"titles","mingwenxingtu_title_di_bg","mingwenxingtu_title_di_bg__atlas__achievement__6571517b9c.png","atlas\achievement.assetbundle","197","12"
"titles","zhuxian_djts_title_line","zhuxian_djts_title_line__atlas__advance__3d6b3c8bf7.png","atlas\advance.assetbundle","99","21"
"titles","mingwenxingtu_title_di_bg","mingwenxingtu_title_di_bg__atlas__asyncarea__e9a2266951.png","atlas\asyncarea.assetbundle","257","86"
"titles","mingwenxingtu_title_di_bg","mingwenxingtu_title_di_bg__atlas__careerfashion__03ecd8fa67.png","atlas\careerfashion.assetbundle","197","12"
"titles","common_huodong_title","common_huodong_title__atlas__common__26440d244d.png","atlas\common.assetbundle","616","66"
"titles","commonv2_huodong_title","commonv2_huodong_title__atlas__common__6e7bc390d0.png","atlas\common.assetbundle","616","58"
"titles","mingwenxingtu_title_di_bg","mingwenxingtu_title_di_bg__atlas__country__1604094cd8.png","atlas\country.assetbundle","257","86"
"titles","lingyuangou_title_zhuangshi_bg","lingyuangou_title_zhuangshi_bg__atlas__emotionfashionpass__f3a4e21862.png","atlas\emotionfashionpass.assetbundle","739","176"
"titles","lingyuangou_title_zhuangshi_bg","lingyuangou_title_zhuangshi_bg__atlas__fairyfashionpass__7c861863b9.png","atlas\fairyfashionpass.assetbundle","739","176"
"titles","zhuxian_djts_title_line","zhuxian_djts_title_line__atlas__goddusk__4ea51b3a74.png","atlas\goddusk.assetbundle","99","21"
"titles","mingwenxingtu_title_di_bg","mingwenxingtu_title_di_bg__atlas__goddusk__5caa59525c.png","atlas\goddusk.assetbundle","257","86"
"titles","zhuxian_djts_title_line","zhuxian_djts_title_line__atlas__illusion__25c5b48079.png","atlas\illusion.assetbundle","99","21"
"titles","switchtitleBg2","switchtitleBg2__atlas__preview__84d6951efd.png","atlas\preview.assetbundle","182","55"
"titles","switchtitleBg1","switchtitleBg1__atlas__preview__5be4da8bc3.png","atlas\preview.assetbundle","239","71"
"titles","zhuansheng_title_bg","zhuansheng_title_bg__atlas__rein__4b053845ec.png","atlas\rein.assetbundle","579","103"
"titles","mingwenxingtu_title_di_bg","mingwenxingtu_title_di_bg__atlas__starmap__7d3f857d1b.png","atlas\starmap.assetbundle","197","12"
"titles","XTtitlebase","XTtitlebase__atlas__starmap__9b2f63eeba.png","atlas\starmap.assetbundle","174","34"
"titles","hechengxigua_ymjr_title_cn","hechengxigua_ymjr_title_cn__atlas__watermelon__19ab5d6629.png","atlas\watermelon.assetbundle","272","90"
"titles","xingzuozhigou_gxhd_title_cn","xingzuozhigou_gxhd_title_cn__texture_v2_cn__en__achievement__small_tex_all__42e45c7bb3.png","texture_v2_cn\en\achievement\small_tex_all.assetbundle","412","111"
"titles","jixiantiaozhan_title_jxtz_cn","jixiantiaozhan_title_jxtz_cn__texture_v2_cn__en__actigreatchallenge__small_tex_all__ec24eb2358.png","texture_v2_cn\en\actigreatchallenge\small_tex_all.assetbundle","635","97"
"titles","qingyuanjuxing_zhekoushangcheng_title_cn","qingyuanjuxing_zhekoushangcheng_title_cn__texture_v2_cn__en__actimegastar__small_tex_all__1d8f0f5e53.png","texture_v2_cn\en\actimegastar\small_tex_all.assetbundle","441","161"
"titles","kaifuchongbangl_title_cn","kaifuchongbangl_title_cn__texture_v2_cn__en__activitynewrank__small_tex_all__ce9318ad1c.png","texture_v2_cn\en\activitynewrank\small_tex_all.assetbundle","128","11"
"titles","qiridenglu_xiandaodali_title_cn","qiridenglu_xiandaodali_title_cn__texture_v2_cn__en__activitywelfare__small_tex_all__e1d1765134.png","texture_v2_cn\en\activitywelfare\small_tex_all.assetbundle","252","38"
"titles","shenlongmibao_title_cn","shenlongmibao_title_cn__texture_v2_cn__en__adragontreasure__small_tex_all__6beccc8ec3.png","texture_v2_cn\en\adragontreasure\small_tex_all.assetbundle","205","29"
"titles","meirileichong_title_cn","meirileichong_title_cn__texture_v2_cn__en__afireactivity__small_tex_all__d95069f09b.png","texture_v2_cn\en\afireactivity\small_tex_all.assetbundle","471","53"
"titles","duorileichong_title_cn","duorileichong_title_cn__texture_v2_cn__en__afireactivity__small_tex_all__7eac9077a4.png","texture_v2_cn\en\afireactivity\small_tex_all.assetbundle","638","60"
"titles","meirizhigou_biaoti6_title_cn","meirizhigou_biaoti6_title_cn__texture_v2_cn__en__afiregift__small_tex_all__889066bbb9.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","546","157"
"titles","meirizhigou_jinxizhaohui_title_cn","meirizhigou_jinxizhaohui_title_cn__texture_v2_cn__en__afiregift__small_tex_all__f1f8cf041a.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","246","29"
"titles","meirizhigou_biaoti4_title_cn","meirizhigou_biaoti4_title_cn__texture_v2_cn__en__afiregift__small_tex_all__321297fc4d.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","546","157"
"titles","meirizhigou_biaoti_title_cn","meirizhigou_biaoti_title_cn__texture_v2_cn__en__afiregift__small_tex_all__07386bd6bf.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","546","157"
"titles","meirizhigou_biaoti5_title_cn","meirizhigou_biaoti5_title_cn__texture_v2_cn__en__afiregift__small_tex_all__b82264d438.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","546","157"
"titles","meirizhigou_biaoti3_title_cn","meirizhigou_biaoti3_title_cn__texture_v2_cn__en__afiregift__small_tex_all__54790ba9d3.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","546","157"
"titles","meirizhigou_title_cn","meirizhigou_title_cn__texture_v2_cn__en__afiregift__small_tex_all__52bf8c42ae.png","texture_v2_cn\en\afiregift\small_tex_all.assetbundle","143","29"
