id_registro,tipo_registro,categoria,nombre_interno,nombre_visible,descripcion,fuente_obtencion,parametros_fuente,estado,icono_relativo,bundle_origen,ancho,alto
b351e63768084e4f,icono,dungeons,1_1_1,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_1__atlas__advancedungeon__e5a97e0fe7.png,atlas\advancedungeon.assetbundle,163,118
83b5706260c30181,icono,dungeons,1_1_10,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_10__atlas__advancedungeon__1c31af3900.png,atlas\advancedungeon.assetbundle,79,172
ec5ee6b21de88d11,icono,dungeons,1_1_11,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_11__atlas__advancedungeon__c5b235cf78.png,atlas\advancedungeon.assetbundle,60,83
32cf2963879c9fa8,icono,dungeons,1_1_12,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_12__atlas__advancedungeon__a16c31453e.png,atlas\advancedungeon.assetbundle,190,71
bbf4358749fcddd1,icono,dungeons,1_1_13,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_13__atlas__advancedungeon__bab94778d3.png,atlas\advancedungeon.assetbundle,118,189
15842282294d8ad9,icono,dungeons,1_1_14,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_14__atlas__advancedungeon__8e17e27b4e.png,atlas\advancedungeon.assetbundle,89,131
3b4d2c89b1fbba5a,icono,dungeons,1_1_15,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_15__atlas__advancedungeon__7f3a9a3f05.png,atlas\advancedungeon.assetbundle,160,146
7b78124493088333,icono,dungeons,1_1_16,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_16__atlas__advancedungeon__3fbf2b2512.png,atlas\advancedungeon.assetbundle,77,91
92cf4094f87a4739,icono,dungeons,1_1_17,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_17__atlas__advancedungeon__ff3c226bd1.png,atlas\advancedungeon.assetbundle,107,198
169bb3293471d356,icono,dungeons,1_1_18,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_18__atlas__advancedungeon__9801d0e610.png,atlas\advancedungeon.assetbundle,78,172
459ea3a70eee3756,icono,dungeons,1_1_19,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_19__atlas__advancedungeon__798f19e35b.png,atlas\advancedungeon.assetbundle,122,56
a7638b554c489215,icono,dungeons,1_1_2,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_2__atlas__advancedungeon__f2d2bd94c4.png,atlas\advancedungeon.assetbundle,89,168
041783e593e20049,icono,dungeons,1_1_3,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_3__atlas__advancedungeon__c2fb1b5f44.png,atlas\advancedungeon.assetbundle,116,128
39d8f4148e9ea597,icono,dungeons,1_1_4,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_4__atlas__advancedungeon__9eabc28d5f.png,atlas\advancedungeon.assetbundle,110,89
c1a55a8a1f7a5b33,icono,dungeons,1_1_5,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_5__atlas__advancedungeon__2e7155b133.png,atlas\advancedungeon.assetbundle,137,98
04c06cb3c5591077,icono,dungeons,1_1_6,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_6__atlas__advancedungeon__e434baa587.png,atlas\advancedungeon.assetbundle,62,184
3aa5f67b3204b8a5,icono,dungeons,1_1_7,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_7__atlas__advancedungeon__0686fdce16.png,atlas\advancedungeon.assetbundle,123,56
f9c348f91f1c4bce,icono,dungeons,1_1_8,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_8__atlas__advancedungeon__b14d6e4cb8.png,atlas\advancedungeon.assetbundle,72,197
257ba6f4c893b931,icono,dungeons,1_1_9,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/1_1_9__atlas__advancedungeon__ef28dd295c.png,atlas\advancedungeon.assetbundle,132,100
0cffbec52b1bf5f9,icono,dungeons,2_2_1,,,Mazmorras y actividades,,Confirmado en archivos del juego; nombre visible pendiente,analisis/catalogos/contact-sheets/2_2_1__atlas__advancedungeon__acee35adf7.png,atlas\advancedungeon.assetbundle,78,105
